question_clean,answer_clean,category,keywords
スマートサイドドット（初回）の後にスマートサイドドット（初回）はどのくらいあけますか／スマートサイドドット（初回）の後にスマートサイドドット（初回）はいつ受けられますか,スマートサイドドット（初回）の後にスマートサイドドット（初回）（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
イボレーザー/CO2レーザーの後にスマートサイドドット（初回）はどのくらいあけますか／イボレーザー/CO2レーザーの後にスマートサイドドット（初回）はいつ受けられますか,イボレーザー/CO2レーザーの後にスマートサイドドット（初回）（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
シミ取りレーザーの後にスマートサイドドット（初回）はどのくらいあけますか／シミ取りレーザーの後にスマートサイドドット（初回）はいつ受けられますか,シミ取りレーザーの後にスマートサイドドット（初回）（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,シミ取りレーザー,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
ADM/ピコレーザの後にスマートサイドドット（初回）はどのくらいあけますか／ADM/ピコレーザの後にスマートサイドドット（初回）はいつ受けられますか,ADM/ピコレーザの後にスマートサイドドット（初回）を受ける場合、ADM/ピコレーザの治療完了後4週間あけてください。,施術間隔,"ADM,あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ピコレーザ,施術間隔,次の施術,間隔"
ADM/ナノレーザーの後にスマートサイドドット（初回）はどのくらいあけますか／ADM/ナノレーザーの後にスマートサイドドット（初回）はいつ受けられますか,ADM/ナノレーザーの後にスマートサイドドット（初回）を受ける場合、ADM/ナノレーザーの治療完了後4週間あけてください。,施術間隔,"ADM,あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ナノレーザー,施術間隔,次の施術,間隔"
レーザートーニングの後にスマートサイドドット（初回）はどのくらいあけますか／レーザートーニングの後にスマートサイドドット（初回）はいつ受けられますか,レーザートーニングの後にスマートサイドドット（初回）（同じ部位）を受ける場合、1週間あけてください。別の部位であれば同日に受けられます。 ※トーニングは1〜5回目は週1回、6回目以降は月1回が目安です,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,レーザートーニング,施術間隔,次の施術,間隔"
ピコトーニングの後にスマートサイドドット（初回）はどのくらいあけますか／ピコトーニングの後にスマートサイドドット（初回）はいつ受けられますか,ピコトーニングの後にスマートサイドドット（初回）（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※トーニングは1〜5回目は週1回、6回目以降は月1回が目安です,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ピコトーニング,施術間隔,次の施術,間隔"
ピコフラクショナルの後にスマートサイドドット（初回）はどのくらいあけますか／ピコフラクショナルの後にスマートサイドドット（初回）はいつ受けられますか,ピコフラクショナルの後にスマートサイドドット（初回）（同じ部位）を受ける場合、8週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ピコフラクショナル,施術間隔,次の施術,間隔"
そばかすシャワーの後にスマートサイドドット（初回）はどのくらいあけますか／そばかすシャワーの後にスマートサイドドット（初回）はいつ受けられますか,そばかすシャワーの後にスマートサイドドット（初回）（同じ部位）を受ける場合、8週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,そばかすシャワー,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
そばかすスポットの後にスマートサイドドット（初回）はどのくらいあけますか／そばかすスポットの後にスマートサイドドット（初回）はいつ受けられますか,そばかすスポットの後にスマートサイドドット（初回）（同じ部位）を受ける場合、8週間あけてください。別の部位であれば同日に受けられます。 ※取り残しは3週間以内、それ以外は3ヶ月以上あけます,施術間隔,"あける,いつ,そばかすスポット,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
フォト/光治療の後にスマートサイドドット（初回）はどのくらいあけますか／フォト/光治療の後にスマートサイドドット（初回）はいつ受けられますか,フォト/光治療の後にスマートサイドドット（初回）（同じ部位）を受ける場合、1週間あけてください。別の部位であれば同日に受けられます。 ※フォト/光治療は赤ら顔も含め4週間。4〜5回で1クール、1クール後は3ヶ月あけます,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,フォト,光治療,施術間隔,次の施術,間隔"
赤み治療の後にスマートサイドドット（初回）はどのくらいあけますか／赤み治療の後にスマートサイドドット（初回）はいつ受けられますか,赤み治療の後にスマートサイドドット（初回）を受ける場合、赤み治療の治療完了後2週間あけてください。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,赤み治療,間隔"
ボトックスの後にスマートサイドドット（初回）はどのくらいあけますか／ボトックスの後にスマートサイドドット（初回）はいつ受けられますか,ボトックスの後にスマートサイドドット（初回）（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※ボトックスはきっちり4ヶ月（マイクロボトックスは3ヶ月）あけます。追加注入は医師の判断によります,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ボトックス,施術間隔,次の施術,間隔"
ボトックス（マイクロ）の後にスマートサイドドット（初回）はどのくらいあけますか／ボトックス（マイクロ）の後にスマートサイドドット（初回）はいつ受けられますか,ボトックス（マイクロ）の後にスマートサイドドット（初回）（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※ボトックスはきっちり4ヶ月（マイクロボトックスは3ヶ月）あけます。追加注入は医師の判断によります,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ボトックス,ボトックス（マイクロ）,施術間隔,次の施術,間隔"
テノールネオの後にスマートサイドドット（初回）はどのくらいあけますか／テノールネオの後にスマートサイドドット（初回）はいつ受けられますか,テノールネオの後にスマートサイドドット（初回）を受ける場合、同日に受けられます。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,テノールネオ,施術間隔,次の施術,間隔"
フラルスキン（トレチ）の後にスマートサイドドット（初回）はどのくらいあけますか／フラルスキン（トレチ）の後にスマートサイドドット（初回）はいつ受けられますか,フラルスキン（トレチ）の後にスマートサイドドット（初回）を受ける場合、トレチノインを使用しているときのみ1週間あけてください（それ以外は医師にご確認ください）。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,フラルスキン,フラルスキン（トレチ）,施術間隔,次の施術,間隔"
部分シミ（トレチ）の後にスマートサイドドット（初回）はどのくらいあけますか／部分シミ（トレチ）の後にスマートサイドドット（初回）はいつ受けられますか,部分シミ（トレチ）の後にスマートサイドドット（初回）（同じ部位）を受ける場合、4週間(翌日)あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,部分シミ,部分シミ（トレチ）,間隔"
mikoメソッドの後にスマートサイドドット（初回）はどのくらいあけますか／mikoメソッドの後にスマートサイドドット（初回）はいつ受けられますか,mikoメソッドの後にスマートサイドドット（初回）（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"mikoメソッド,あける,いつ,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
ほくろ切除/ほくろ除去の後にスマートサイドドット（初回）はどのくらいあけますか／ほくろ切除/ほくろ除去の後にスマートサイドドット（初回）はいつ受けられますか,ほくろ切除/ほくろ除去の後にスマートサイドドット（初回）を受ける場合、傷が上皮化してから4週間あけてください。,施術間隔,"あける,いつ,ほくろ切除,ほくろ除去,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
ボライトの後にスマートサイドドット（初回）はどのくらいあけますか／ボライトの後にスマートサイドドット（初回）はいつ受けられますか,ボライトの後にスマートサイドドット（初回）（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ボライト,施術間隔,次の施術,間隔"
稗粒腫の後にスマートサイドドット（初回）はどのくらいあけますか／稗粒腫の後にスマートサイドドット（初回）はいつ受けられますか,稗粒腫の後にスマートサイドドット（初回）（同じ部位）を受ける場合、1週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,稗粒腫,間隔"
ヴェルヴェットスキンの後にスマートサイドドット（初回）はどのくらいあけますか／ヴェルヴェットスキンの後にスマートサイドドット（初回）はいつ受けられますか,ヴェルヴェットスキンの後にスマートサイドドット（初回）（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ヴェルヴェットスキン,施術間隔,次の施術,間隔"
ダーマペンの後にスマートサイドドット（初回）はどのくらいあけますか／ダーマペンの後にスマートサイドドット（初回）はいつ受けられますか,ダーマペンの後にスマートサイドドット（初回）（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※ダーマペンは基本4週間ですが、出血状況により医師の指示に従います,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ダーマペン,施術間隔,次の施術,間隔"
HARGの後にスマートサイドドット（初回）はどのくらいあけますか／HARGの後にスマートサイドドット（初回）はいつ受けられますか,HARGの後にスマートサイドドット（初回）（別の部位）を受ける場合、翌日あけてください。,施術間隔,"HARG,あける,いつ,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
スカルプ・プラセンタエッセンスの後にスマートサイドドット（初回）はどのくらいあけますか／スカルプ・プラセンタエッセンスの後にスマートサイドドット（初回）はいつ受けられますか,スカルプ・プラセンタエッセンスの後にスマートサイドドット（初回）（別の部位）を受ける場合、翌日あけてください。,施術間隔,"あける,いつ,スカルプ・プラセンタエッセンス,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
コラーゲンピールの後にスマートサイドドット（初回）はどのくらいあけますか／コラーゲンピールの後にスマートサイドドット（初回）はいつ受けられますか,コラーゲンピールの後にスマートサイドドット（初回）（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,コラーゲンピール,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
サーマクールの後にスマートサイドドット（初回）はどのくらいあけますか／サーマクールの後にスマートサイドドット（初回）はいつ受けられますか,サーマクールの後にスマートサイドドット（初回）（同じ部位）を受ける場合、1週間あけてください。別の部位であれば同日に受けられます。 ※サーマクールはきっちり6ヶ月あけます,施術間隔,"あける,いつ,サーマクール,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
脱毛の後にスマートサイドドット（初回）はどのくらいあけますか／脱毛の後にスマートサイドドット（初回）はいつ受けられますか,脱毛の後にスマートサイドドット（初回）（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※脱毛は1回目→2回目が4週間、2回目以降は8週間（男性のひげは回数にかかわらず2週間）。他院・家庭用脱毛器・毛抜き後は8週間あけます,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,脱毛,間隔"
タトゥーの後にスマートサイドドット（初回）はどのくらいあけますか／タトゥーの後にスマートサイドドット（初回）はいつ受けられますか,タトゥーの後にスマートサイドドット（初回）（同じ部位）を受ける場合、同部位3ヶ月あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,タトゥー,施術間隔,次の施術,間隔"
アートメイクの後にスマートサイドドット（初回）はどのくらいあけますか／アートメイクの後にスマートサイドドット（初回）はいつ受けられますか,アートメイクの後にスマートサイドドット（初回）（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。,施術間隔,"あける,いつ,アートメイク,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
ハイドラジェントルの後にイボレーザー/CO2レーザーはどのくらいあけますか／ハイドラジェントルの後にイボレーザー/CO2レーザーはいつ受けられますか,ハイドラジェントルの後にイボレーザー/CO2レーザーを受ける場合、同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ハイドラジェントル,施術間隔,次の施術,間隔"
ケミカルピーリングの後にイボレーザー/CO2レーザーはどのくらいあけますか／ケミカルピーリングの後にイボレーザー/CO2レーザーはいつ受けられますか,ケミカルピーリングの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※ピーリングは顔4週間（医師指示で2週間の場合あり）・背中3週間・その他2週間／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ケミカルピーリング,施術間隔,次の施術,間隔"
スマートサイドドット（2回目以降）の後にイボレーザー/CO2レーザーはどのくらいあけますか／スマートサイドドット（2回目以降）の後にイボレーザー/CO2レーザーはいつ受けられますか,スマートサイドドット（2回目以降）の後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,スマートサイドドット,スマートサイドドット（2回目以降）,施術間隔,次の施術,間隔"
スマートサイドドット（初回）の後にイボレーザー/CO2レーザーはどのくらいあけますか／スマートサイドドット（初回）の後にイボレーザー/CO2レーザーはいつ受けられますか,スマートサイドドット（初回）の後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、3週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,スマートサイドドット,スマートサイドドット（初回）,施術間隔,次の施術,間隔"
イボレーザー/CO2レーザーの後にイボレーザー/CO2レーザーはどのくらいあけますか／イボレーザー/CO2レーザーの後にイボレーザー/CO2レーザーはいつ受けられますか,イボレーザー/CO2レーザーの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、(2週間)※あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,施術間隔,次の施術,間隔"
シミ取りレーザーの後にイボレーザー/CO2レーザーはどのくらいあけますか／シミ取りレーザーの後にイボレーザー/CO2レーザーはいつ受けられますか,シミ取りレーザーの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,シミ取りレーザー,施術間隔,次の施術,間隔"
ADM/ピコレーザの後にイボレーザー/CO2レーザーはどのくらいあけますか／ADM/ピコレーザの後にイボレーザー/CO2レーザーはいつ受けられますか,ADM/ピコレーザの後にイボレーザー/CO2レーザーを受ける場合、ADM/ピコレーザの治療完了後4週間あけてください。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"ADM,CO2レーザー,あける,いつ,イボレーザー,ピコレーザ,施術間隔,次の施術,間隔"
ADM/ナノレーザーの後にイボレーザー/CO2レーザーはどのくらいあけますか／ADM/ナノレーザーの後にイボレーザー/CO2レーザーはいつ受けられますか,ADM/ナノレーザーの後にイボレーザー/CO2レーザーを受ける場合、ADM/ナノレーザーの治療完了後4週間あけてください。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"ADM,CO2レーザー,あける,いつ,イボレーザー,ナノレーザー,施術間隔,次の施術,間隔"
レーザートーニングの後にイボレーザー/CO2レーザーはどのくらいあけますか／レーザートーニングの後にイボレーザー/CO2レーザーはいつ受けられますか,レーザートーニングの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、1週間あけてください。別の部位であれば同日に受けられます。 ※トーニングは1〜5回目は週1回、6回目以降は月1回が目安です／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,レーザートーニング,施術間隔,次の施術,間隔"
ピコトーニングの後にイボレーザー/CO2レーザーはどのくらいあけますか／ピコトーニングの後にイボレーザー/CO2レーザーはいつ受けられますか,ピコトーニングの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※トーニングは1〜5回目は週1回、6回目以降は月1回が目安です／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ピコトーニング,施術間隔,次の施術,間隔"
ピコフラクショナルの後にイボレーザー/CO2レーザーはどのくらいあけますか／ピコフラクショナルの後にイボレーザー/CO2レーザーはいつ受けられますか,ピコフラクショナルの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、3週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ピコフラクショナル,施術間隔,次の施術,間隔"
そばかすシャワーの後にイボレーザー/CO2レーザーはどのくらいあけますか／そばかすシャワーの後にイボレーザー/CO2レーザーはいつ受けられますか,そばかすシャワーの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,そばかすシャワー,イボレーザー,施術間隔,次の施術,間隔"
そばかすスポットの後にイボレーザー/CO2レーザーはどのくらいあけますか／そばかすスポットの後にイボレーザー/CO2レーザーはいつ受けられますか,そばかすスポットの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※取り残しは3週間以内、それ以外は3ヶ月以上あけます／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,そばかすスポット,イボレーザー,施術間隔,次の施術,間隔"
フォト/光治療の後にイボレーザー/CO2レーザーはどのくらいあけますか／フォト/光治療の後にイボレーザー/CO2レーザーはいつ受けられますか,フォト/光治療の後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、1週間あけてください。別の部位であれば同日に受けられます。 ※フォト/光治療は赤ら顔も含め4週間。4〜5回で1クール、1クール後は3ヶ月あけます／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,フォト,光治療,施術間隔,次の施術,間隔"
赤み治療の後にイボレーザー/CO2レーザーはどのくらいあけますか／赤み治療の後にイボレーザー/CO2レーザーはいつ受けられますか,赤み治療の後にイボレーザー/CO2レーザーを受ける場合、赤み治療の治療完了後2週間あけてください。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,施術間隔,次の施術,赤み治療,間隔"
ボトックスの後にイボレーザー/CO2レーザーはどのくらいあけますか／ボトックスの後にイボレーザー/CO2レーザーはいつ受けられますか,ボトックスの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※ボトックスはきっちり4ヶ月（マイクロボトックスは3ヶ月）あけます。追加注入は医師の判断によります／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ボトックス,施術間隔,次の施術,間隔"
ボトックス（マイクロ）の後にイボレーザー/CO2レーザーはどのくらいあけますか／ボトックス（マイクロ）の後にイボレーザー/CO2レーザーはいつ受けられますか,ボトックス（マイクロ）の後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※ボトックスはきっちり4ヶ月（マイクロボトックスは3ヶ月）あけます。追加注入は医師の判断によります／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ボトックス,ボトックス（マイクロ）,施術間隔,次の施術,間隔"
テノールネオの後にイボレーザー/CO2レーザーはどのくらいあけますか／テノールネオの後にイボレーザー/CO2レーザーはいつ受けられますか,テノールネオの後にイボレーザー/CO2レーザーを受ける場合、同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,テノールネオ,施術間隔,次の施術,間隔"
フラルスキン（トレチ）の後にイボレーザー/CO2レーザーはどのくらいあけますか／フラルスキン（トレチ）の後にイボレーザー/CO2レーザーはいつ受けられますか,フラルスキン（トレチ）の後にイボレーザー/CO2レーザーを受ける場合、トレチノインを使用しているときのみ1週間あけてください（それ以外は医師にご確認ください）。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,フラルスキン,フラルスキン（トレチ）,施術間隔,次の施術,間隔"
部分シミ（トレチ）の後にイボレーザー/CO2レーザーはどのくらいあけますか／部分シミ（トレチ）の後にイボレーザー/CO2レーザーはいつ受けられますか,部分シミ（トレチ）の後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,施術間隔,次の施術,部分シミ,部分シミ（トレチ）,間隔"
mikoメソッドの後にイボレーザー/CO2レーザーはどのくらいあけますか／mikoメソッドの後にイボレーザー/CO2レーザーはいつ受けられますか,mikoメソッドの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,mikoメソッド,あける,いつ,イボレーザー,施術間隔,次の施術,間隔"
ほくろ切除/ほくろ除去の後にイボレーザー/CO2レーザーはどのくらいあけますか／ほくろ切除/ほくろ除去の後にイボレーザー/CO2レーザーはいつ受けられますか,ほくろ切除/ほくろ除去の後にイボレーザー/CO2レーザーを受ける場合、傷が上皮化してから4週間あけてください。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,ほくろ切除,ほくろ除去,イボレーザー,施術間隔,次の施術,間隔"
ボライトの後にイボレーザー/CO2レーザーはどのくらいあけますか／ボライトの後にイボレーザー/CO2レーザーはいつ受けられますか,ボライトの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ボライト,施術間隔,次の施術,間隔"
稗粒腫の後にイボレーザー/CO2レーザーはどのくらいあけますか／稗粒腫の後にイボレーザー/CO2レーザーはいつ受けられますか,稗粒腫の後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、1週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,施術間隔,次の施術,稗粒腫,間隔"
ヴェルヴェットスキンの後にイボレーザー/CO2レーザーはどのくらいあけますか／ヴェルヴェットスキンの後にイボレーザー/CO2レーザーはいつ受けられますか,ヴェルヴェットスキンの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ヴェルヴェットスキン,施術間隔,次の施術,間隔"
ダーマペンの後にイボレーザー/CO2レーザーはどのくらいあけますか／ダーマペンの後にイボレーザー/CO2レーザーはいつ受けられますか,ダーマペンの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※ダーマペンは基本4週間ですが、出血状況により医師の指示に従います／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ダーマペン,施術間隔,次の施術,間隔"
HARGの後にイボレーザー/CO2レーザーはどのくらいあけますか／HARGの後にイボレーザー/CO2レーザーはいつ受けられますか,HARGの後にイボレーザー/CO2レーザー（別の部位）を受ける場合、翌日あけてください。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,HARG,あける,いつ,イボレーザー,施術間隔,次の施術,間隔"
スカルプ・プラセンタエッセンスの後にイボレーザー/CO2レーザーはどのくらいあけますか／スカルプ・プラセンタエッセンスの後にイボレーザー/CO2レーザーはいつ受けられますか,スカルプ・プラセンタエッセンスの後にイボレーザー/CO2レーザー（別の部位）を受ける場合、翌日あけてください。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,スカルプ・プラセンタエッセンス,施術間隔,次の施術,間隔"
コラーゲンピールの後にイボレーザー/CO2レーザーはどのくらいあけますか／コラーゲンピールの後にイボレーザー/CO2レーザーはいつ受けられますか,コラーゲンピールの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,コラーゲンピール,施術間隔,次の施術,間隔"
サーマクールの後にイボレーザー/CO2レーザーはどのくらいあけますか／サーマクールの後にイボレーザー/CO2レーザーはいつ受けられますか,サーマクールの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※サーマクールはきっちり6ヶ月あけます／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,サーマクール,施術間隔,次の施術,間隔"
脱毛の後にイボレーザー/CO2レーザーはどのくらいあけますか／脱毛の後にイボレーザー/CO2レーザーはいつ受けられますか,脱毛の後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※脱毛は1回目→2回目が4週間、2回目以降は8週間（男性のひげは回数にかかわらず2週間）。他院・家庭用脱毛器・毛抜き後は8週間あけます／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,施術間隔,次の施術,脱毛,間隔"
タトゥーの後にイボレーザー/CO2レーザーはどのくらいあけますか／タトゥーの後にイボレーザー/CO2レーザーはいつ受けられますか,タトゥーの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、同部位3ヶ月あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,タトゥー,施術間隔,次の施術,間隔"
アートメイクの後にイボレーザー/CO2レーザーはどのくらいあけますか／アートメイクの後にイボレーザー/CO2レーザーはいつ受けられますか,アートメイクの後にイボレーザー/CO2レーザー（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,アートメイク,イボレーザー,施術間隔,次の施術,間隔"
