施術,先に受けた施術,次に受ける施術,部位条件,必要な間隔,同日可否,実施順,条件・例外,医師確認,基準版,先_別名,次_別名
赤み治療（血管腫レーザー）→レーザートーニング,赤み治療（血管腫レーザー）,レーザートーニング,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
ボトックス注射（通常）→レーザートーニング,ボトックス注射（通常）,レーザートーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
マイクロボトックス→レーザートーニング,マイクロボトックス,レーザートーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
テノールNEO（テノールネオ）→レーザートーニング,テノールNEO（テノールネオ）,レーザートーニング,同部位,1週間,条件付き,,会員または回数券の場合は同日可／会員または回数券の場合は、どちらかが初回でも同日可,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
フラルスキン（トレチノイン）→レーザートーニング,フラルスキン（トレチノイン）,レーザートーニング,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
部分シミ治療（トレチノイン）→レーザートーニング,部分シミ治療（トレチノイン）,レーザートーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
mikoメソッド（首いぼ治療）→レーザートーニング,mikoメソッド（首いぼ治療）,レーザートーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
ほくろ切除・ほくろ除去→レーザートーニング,ほくろ切除・ほくろ除去,レーザートーニング,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
ボライト（スキンブースター）→レーザートーニング,ボライト（スキンブースター）,レーザートーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
稗粒腫（はいりゅうしゅ）除去→レーザートーニング,稗粒腫（はいりゅうしゅ）除去,レーザートーニング,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
ヴェルヴェットスキン→レーザートーニング,ヴェルヴェットスキン,レーザートーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
ダーマペン4→レーザートーニング,ダーマペン4,レーザートーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
HARG療法→レーザートーニング,HARG療法,レーザートーニング,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
スカルプ・プラセンタエッセンス→レーザートーニング,スカルプ・プラセンタエッセンス,レーザートーニング,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
コラーゲンピール（マッサージピール）→レーザートーニング,コラーゲンピール（マッサージピール）,レーザートーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
サーマクール→レーザートーニング,サーマクール,レーザートーニング,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
ミラドライ→レーザートーニング,ミラドライ,レーザートーニング,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
医療レーザー脱毛→レーザートーニング,医療レーザー脱毛,レーザートーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
タトゥー除去（刺青除去）→レーザートーニング,タトゥー除去（刺青除去）,レーザートーニング,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
アートメイク→レーザートーニング,アートメイク,レーザートーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ
ハイドラジェントル→ピコトーニング,ハイドラジェントル,ピコトーニング,面の治療との併用,初回：同日不可／2回目以降：同日可,条件付き,ハイドラを先に実施,初回は同日不可。問題がなかった場合は2回目以降で同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ケミカルピーリング→ピコトーニング,ケミカルピーリング,ピコトーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,ピコトーニング・ピコ・トーニング・肝斑・くすみ
スマートサイドドットレーザー（2回目以降）→ピコトーニング,スマートサイドドットレーザー（2回目以降）,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,ピコトーニング・ピコ・トーニング・肝斑・くすみ
スマートサイドドットレーザー（初回）→ピコトーニング,スマートサイドドットレーザー（初回）,ピコトーニング,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,ピコトーニング・ピコ・トーニング・肝斑・くすみ
イボレーザー（炭酸ガス／CO2レーザー）→ピコトーニング,イボレーザー（炭酸ガス／CO2レーザー）,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,ピコトーニング・ピコ・トーニング・肝斑・くすみ
シミ取りレーザー→ピコトーニング,シミ取りレーザー,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ADM治療（ピコレーザー）→ピコトーニング,ADM治療（ピコレーザー）,ピコトーニング,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ADM治療（ナノレーザー・メドライトC6）→ピコトーニング,ADM治療（ナノレーザー・メドライトC6）,ピコトーニング,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,ピコトーニング・ピコ・トーニング・肝斑・くすみ
レーザートーニング→ピコトーニング,レーザートーニング,ピコトーニング,同部位,1週間,同部位は不可／別部位は可,,※の参照先を表から一意に特定できないため、追加条件は未確定です／別部位の場合は同日可,必要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ピコトーニング→ピコトーニング,ピコトーニング,ピコトーニング,同部位,2～4週間,同部位は不可／別部位は可,,※の参照先を表から一意に特定できないため、追加条件は未確定です／別部位の場合は同日可,必要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ピコフラクショナル（1064nm）→ピコトーニング,ピコフラクショナル（1064nm）,ピコトーニング,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,ピコトーニング・ピコ・トーニング・肝斑・くすみ
そばかすシャワー（532レーザー）→ピコトーニング,そばかすシャワー（532レーザー）,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,ピコトーニング・ピコ・トーニング・肝斑・くすみ
そばかすスポット照射→ピコトーニング,そばかすスポット照射,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,ピコトーニング・ピコ・トーニング・肝斑・くすみ
フォトフェイシャル（光治療）→ピコトーニング,フォトフェイシャル（光治療）,ピコトーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,ピコトーニング・ピコ・トーニング・肝斑・くすみ
赤み治療（血管腫レーザー）→ピコトーニング,赤み治療（血管腫レーザー）,ピコトーニング,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ボトックス注射（通常）→ピコトーニング,ボトックス注射（通常）,ピコトーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
マイクロボトックス→ピコトーニング,マイクロボトックス,ピコトーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
テノールNEO（テノールネオ）→ピコトーニング,テノールNEO（テノールネオ）,ピコトーニング,同部位,2週間,条件付き,,会員または回数券の場合は同日可／会員または回数券の場合は、どちらかが初回でも同日可,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,ピコトーニング・ピコ・トーニング・肝斑・くすみ
フラルスキン（トレチノイン）→ピコトーニング,フラルスキン（トレチノイン）,ピコトーニング,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,ピコトーニング・ピコ・トーニング・肝斑・くすみ
部分シミ治療（トレチノイン）→ピコトーニング,部分シミ治療（トレチノイン）,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
mikoメソッド（首いぼ治療）→ピコトーニング,mikoメソッド（首いぼ治療）,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ほくろ切除・ほくろ除去→ピコトーニング,ほくろ切除・ほくろ除去,ピコトーニング,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ボライト（スキンブースター）→ピコトーニング,ボライト（スキンブースター）,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,ピコトーニング・ピコ・トーニング・肝斑・くすみ
稗粒腫（はいりゅうしゅ）除去→ピコトーニング,稗粒腫（はいりゅうしゅ）除去,ピコトーニング,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ヴェルヴェットスキン→ピコトーニング,ヴェルヴェットスキン,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ダーマペン4→ピコトーニング,ダーマペン4,ピコトーニング,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,ピコトーニング・ピコ・トーニング・肝斑・くすみ
HARG療法→ピコトーニング,HARG療法,ピコトーニング,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,ピコトーニング・ピコ・トーニング・肝斑・くすみ
スカルプ・プラセンタエッセンス→ピコトーニング,スカルプ・プラセンタエッセンス,ピコトーニング,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,ピコトーニング・ピコ・トーニング・肝斑・くすみ
コラーゲンピール（マッサージピール）→ピコトーニング,コラーゲンピール（マッサージピール）,ピコトーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
サーマクール→ピコトーニング,サーマクール,ピコトーニング,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ミラドライ→ピコトーニング,ミラドライ,ピコトーニング,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,ピコトーニング・ピコ・トーニング・肝斑・くすみ
医療レーザー脱毛→ピコトーニング,医療レーザー脱毛,ピコトーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,ピコトーニング・ピコ・トーニング・肝斑・くすみ
タトゥー除去（刺青除去）→ピコトーニング,タトゥー除去（刺青除去）,ピコトーニング,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,ピコトーニング・ピコ・トーニング・肝斑・くすみ
アートメイク→ピコトーニング,アートメイク,ピコトーニング,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,ピコトーニング・ピコ・トーニング・肝斑・くすみ
ハイドラジェントル→ピコフラクショナル（1064nm）,ハイドラジェントル,ピコフラクショナル（1064nm）,面の治療との併用,初回：同日不可／2回目以降：同日可,条件付き,ハイドラを先に実施,初回は同日不可。問題がなかった場合は2回目以降で同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ケミカルピーリング→ピコフラクショナル（1064nm）,ケミカルピーリング,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
スマートサイドドットレーザー（2回目以降）→ピコフラクショナル（1064nm）,スマートサイドドットレーザー（2回目以降）,ピコフラクショナル（1064nm）,同部位,8週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
スマートサイドドットレーザー（初回）→ピコフラクショナル（1064nm）,スマートサイドドットレーザー（初回）,ピコフラクショナル（1064nm）,同部位,8週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
イボレーザー（炭酸ガス／CO2レーザー）→ピコフラクショナル（1064nm）,イボレーザー（炭酸ガス／CO2レーザー）,ピコフラクショナル（1064nm）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
シミ取りレーザー→ピコフラクショナル（1064nm）,シミ取りレーザー,ピコフラクショナル（1064nm）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ADM治療（ピコレーザー）→ピコフラクショナル（1064nm）,ADM治療（ピコレーザー）,ピコフラクショナル（1064nm）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ADM治療（ナノレーザー・メドライトC6）→ピコフラクショナル（1064nm）,ADM治療（ナノレーザー・メドライトC6）,ピコフラクショナル（1064nm）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
レーザートーニング→ピコフラクショナル（1064nm）,レーザートーニング,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ピコトーニング→ピコフラクショナル（1064nm）,ピコトーニング,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ピコフラクショナル（1064nm）→ピコフラクショナル（1064nm）,ピコフラクショナル（1064nm）,ピコフラクショナル（1064nm）,同部位,2～3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
そばかすシャワー（532レーザー）→ピコフラクショナル（1064nm）,そばかすシャワー（532レーザー）,ピコフラクショナル（1064nm）,同部位,1～3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
そばかすスポット照射→ピコフラクショナル（1064nm）,そばかすスポット照射,ピコフラクショナル（1064nm）,同部位,1～3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
フォトフェイシャル（光治療）→ピコフラクショナル（1064nm）,フォトフェイシャル（光治療）,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
赤み治療（血管腫レーザー）→ピコフラクショナル（1064nm）,赤み治療（血管腫レーザー）,ピコフラクショナル（1064nm）,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ボトックス注射（通常）→ピコフラクショナル（1064nm）,ボトックス注射（通常）,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
マイクロボトックス→ピコフラクショナル（1064nm）,マイクロボトックス,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
テノールNEO（テノールネオ）→ピコフラクショナル（1064nm）,テノールNEO（テノールネオ）,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
フラルスキン（トレチノイン）→ピコフラクショナル（1064nm）,フラルスキン（トレチノイン）,ピコフラクショナル（1064nm）,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
部分シミ治療（トレチノイン）→ピコフラクショナル（1064nm）,部分シミ治療（トレチノイン）,ピコフラクショナル（1064nm）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
mikoメソッド（首いぼ治療）→ピコフラクショナル（1064nm）,mikoメソッド（首いぼ治療）,ピコフラクショナル（1064nm）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ほくろ切除・ほくろ除去→ピコフラクショナル（1064nm）,ほくろ切除・ほくろ除去,ピコフラクショナル（1064nm）,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ボライト（スキンブースター）→ピコフラクショナル（1064nm）,ボライト（スキンブースター）,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
稗粒腫（はいりゅうしゅ）除去→ピコフラクショナル（1064nm）,稗粒腫（はいりゅうしゅ）除去,ピコフラクショナル（1064nm）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ヴェルヴェットスキン→ピコフラクショナル（1064nm）,ヴェルヴェットスキン,ピコフラクショナル（1064nm）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
ダーマペン4→ピコフラクショナル（1064nm）,ダーマペン4,ピコフラクショナル（1064nm）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
HARG療法→ピコフラクショナル（1064nm）,HARG療法,ピコフラクショナル（1064nm）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
スカルプ・プラセンタエッセンス→ピコフラクショナル（1064nm）,スカルプ・プラセンタエッセンス,ピコフラクショナル（1064nm）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
コラーゲンピール（マッサージピール）→ピコフラクショナル（1064nm）,コラーゲンピール（マッサージピール）,ピコフラクショナル（1064nm）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡
